date,temperature,humidity,luminosity
2023-12-21 14:56:20.317,19.5,32.6,1278
2023-12-21 15:11:12.660,19.7,29.9,1416
2023-12-21 14:47:37.312,19.6,32.6,1312
2023-12-21 14:54:09.567,19.5,32.7,1269
2023-12-21 14:49:48.065,19.6,32.3,1273
2023-12-21 14:45:26.561,19.6,32.0,1356
2023-12-21 15:08:29.909,19.7,30.3,991
2023-12-21 14:41:05.057,19.5,31.6,1359
2023-12-21 14:48:42.688,19.5,32.8,1313
2023-12-21 14:42:10.435,19.6,32.3,1360
2023-12-21 14:53:04.191,19.5,32.6,1276
2023-12-21 14:50:53.439,19.5,32.6,1276
2023-12-21 14:44:21.186,19.6,32.3,1356
2023-12-21 14:55:14.942,19.5,32.4,1267
2023-12-21 14:39:59.681,19.6,32.0,1358
2023-12-21 15:07:08.534,19.6,29.9,993
2023-12-21 14:46:31.936,19.6,32.4,1353
2023-12-21 15:09:51.285,19.6,30.6,1409
2023-12-21 14:36:31.412,19.5,32.2,1361
2023-12-21 15:12:34.036,19.5,31.1,1471
2023-12-21 14:41:37.746,19.6,32.0,1360
2023-12-21 14:49:15.377,19.6,32.8,1269
2023-12-21 14:37:04.099,19.5,32.3,1359
2023-12-21 14:50:20.752,19.5,32.2,1271
2023-12-21 14:42:43.123,19.6,32.5,1360
2023-12-21 14:52:31.503,19.5,32.4,1276
2023-12-21 14:51:26.128,19.5,32.4,1270
2023-12-21 14:43:48.498,19.6,32.1,1352
2023-12-21 14:53:36.878,19.5,32.6,1270
2023-12-21 14:38:09.475,19.5,32.3,1354
2023-12-21 14:54:42.254,19.5,32.6,1269
2023-12-21 14:44:53.874,19.6,32.0,1356
2023-12-21 14:55:47.629,19.5,32.5,1270
2023-12-21 14:35:58.724,19.5,32.3,1355
2023-12-21 15:06:27.847,19.5,29.7,992
2023-12-21 14:45:59.249,19.6,32.4,1355
2023-12-21 15:07:49.222,19.6,30.1,991
2023-12-21 14:40:32.369,19.5,31.9,1357
2023-12-21 15:09:10.597,19.6,31.2,167
2023-12-21 14:47:04.624,19.6,32.3,1357
2023-12-21 15:10:31.971,19.6,30.0,1410
2023-12-21 14:34:53.349,19.4,32.5,1354
2023-12-21 15:11:53.348,19.6,30.7,1421
2023-12-21 14:48:10.000,19.6,32.7,1315
2023-12-21 14:48:26.343,19.6,32.8,1316
2023-12-21 14:36:47.756,19.5,32.3,1357
2023-12-21 14:48:59.033,19.6,32.9,1265
2023-12-21 14:41:54.090,19.5,32.0,1360
2023-12-21 14:49:31.721,19.6,32.5,1263
2023-12-21 14:35:09.693,19.4,32.5,1357
2023-12-21 14:50:04.408,19.5,32.1,1267
2023-12-21 14:42:26.779,19.5,32.4,1356
2023-12-21 14:50:37.096,19.5,32.3,1274
2023-12-21 14:37:20.443,19.5,32.3,1354
2023-12-21 14:51:09.784,19.5,32.6,1271
2023-12-21 14:42:59.467,19.5,32.5,1357
2023-12-21 14:52:15.159,19.5,32.2,1270
2023-12-21 14:51:42.472,19.5,32.6,1275
2023-12-21 14:43:32.154,19.6,32.3,1355
2023-12-21 14:52:47.847,19.5,32.4,1272
2023-12-21 14:37:53.131,19.5,32.4,1353
2023-12-21 14:53:20.534,19.5,32.6,1273
2023-12-21 14:44:04.842,19.6,32.2,1353
2023-12-21 14:53:53.222,19.6,32.6,1269
2023-12-21 14:35:42.380,19.5,32.2,1359
2023-12-21 14:54:25.910,19.6,32.8,1275
2023-12-21 14:44:37.530,19.6,32.2,1357
2023-12-21 14:54:58.599,19.5,32.4,1268
2023-12-21 14:38:25.819,19.5,32.1,1356
2023-12-21 14:55:31.285,19.5,32.4,1267
2023-12-21 14:45:10.217,19.6,32.0,1354
2023-12-21 14:56:03.973,19.6,32.5,1266
2023-12-21 14:34:14.563,19.4,32.6,1356
2023-12-21 15:06:07.503,19.6,30.1,990
2023-12-21 14:45:42.905,19.6,32.2,1355
2023-12-21 15:06:48.190,19.5,29.8,993
2023-12-21 14:40:16.025,19.5,32.0,1357
2023-12-21 15:07:28.878,19.6,30.0,993
2023-12-21 14:46:15.592,19.6,32.2,1351
2023-12-21 15:08:09.566,19.6,30.3,992
2023-12-21 14:36:15.068,19.5,32.2,1358
2023-12-21 15:08:50.253,19.7,30.6,907
2023-12-21 14:46:48.281,19.6,32.4,1356
2023-12-21 15:09:30.941,19.6,31.0,56
2023-12-21 14:40:48.713,19.5,31.7,1359
